xsec,nevents
1.12874E+11,1.00000E+04
1.12943E+11,1.00000E+04
1.05449E+11,1.00000E+04
1.12396E+11,1.00000E+04
1.13005E+11,1.00000E+04
1.12877E+11,1.00000E+04
1.13238E+11,1.00000E+04
1.12576E+11,1.00000E+04
1.12881E+11,1.00000E+04
1.12930E+11,1.00000E+04
1.13362E+11,1.00000E+04
1.13236E+11,1.00000E+04
1.13016E+11,1.00000E+04
1.13005E+11,1.00000E+04
1.13271E+11,1.00000E+04
4.74788E+10,1.00000E+04
1.11114E+11,1.00000E+04
1.13104E+11,1.00000E+04
1.11171E+11,1.00000E+04
1.13037E+11,1.00000E+04
1.12807E+11,1.00000E+04
1.12810E+11,1.00000E+04
1.12493E+11,1.00000E+04
1.12715E+11,1.00000E+04
1.13236E+11,1.00000E+04
1.10994E+11,1.00000E+04
1.12899E+11,1.00000E+04
1.12647E+11,1.00000E+04
1.12447E+11,1.00000E+04
1.08424E+11,1.00000E+04
1.12424E+11,1.00000E+04
1.12626E+11,1.00000E+04
1.12303E+11,1.00000E+04
1.12676E+11,1.00000E+04
1.12137E+11,1.00000E+04
1.11903E+11,1.00000E+04
1.12543E+11,1.00000E+04
1.12613E+11,1.00000E+04
1.11662E+11,1.00000E+04
1.12088E+11,1.00000E+04
1.12317E+11,1.00000E+04
1.10860E+11,1.00000E+04
1.10609E+11,1.00000E+04
1.13153E+11,1.00000E+04
1.12825E+11,1.00000E+04
1.12813E+11,1.00000E+04
1.12387E+11,1.00000E+04
1.13352E+11,1.00000E+04
1.13198E+11,1.00000E+04
1.11235E+11,1.00000E+04
1.12896E+11,1.00000E+04
1.10691E+11,1.00000E+04
1.12549E+11,1.00000E+04
1.12590E+11,1.00000E+04
1.12615E+11,1.00000E+04
1.12589E+11,1.00000E+04
1.11487E+11,1.00000E+04
1.13031E+11,1.00000E+04
1.12645E+11,1.00000E+04
1.13134E+11,1.00000E+04
1.11924E+11,1.00000E+04
1.13109E+11,1.00000E+04
1.12294E+11,1.00000E+04
1.12847E+11,1.00000E+04
1.09204E+11,1.00000E+04
1.12183E+11,1.00000E+04
1.13490E+11,1.00000E+04
1.12391E+11,1.00000E+04
1.13430E+11,1.00000E+04
1.12343E+11,1.00000E+04
