xsec,nevents
8.24720E+10,1.00000E+04
8.19500E+10,1.00000E+04
8.25030E+10,1.00000E+04
8.23740E+10,1.00000E+04
8.28750E+10,1.00000E+04
8.24110E+10,1.00000E+04
8.07180E+10,1.00000E+04
8.21770E+10,1.00000E+04
8.28080E+10,1.00000E+04
8.25420E+10,1.00000E+04
8.23560E+10,1.00000E+04
8.18370E+10,1.00000E+04
3.40874E+10,1.00000E+04
8.23710E+10,1.00000E+04
8.26650E+10,1.00000E+04
8.29550E+10,1.00000E+04
8.22940E+10,1.00000E+04
8.26340E+10,1.00000E+04
8.25240E+10,1.00000E+04
8.26320E+10,1.00000E+04
8.22090E+10,1.00000E+04
8.06810E+10,1.00000E+04
8.24490E+10,1.00000E+04
8.26340E+10,1.00000E+04
8.33040E+10,1.00000E+04
8.22620E+10,1.00000E+04
8.23290E+10,1.00000E+04
8.30430E+10,1.00000E+04
8.12650E+10,1.00000E+04
8.26170E+10,1.00000E+04
8.26160E+10,1.00000E+04
8.07760E+10,1.00000E+04
8.24110E+10,1.00000E+04
8.17470E+10,1.00000E+04
8.26680E+10,1.00000E+04
8.25760E+10,1.00000E+04
3.32241E+10,1.00000E+04
8.25310E+10,1.00000E+04
7.49130E+10,1.00000E+04
8.25680E+10,1.00000E+04
8.25970E+10,1.00000E+04
8.27800E+10,1.00000E+04
7.98410E+10,1.00000E+04
8.25610E+10,1.00000E+04
8.09970E+10,1.00000E+04
8.26430E+10,1.00000E+04
8.23130E+10,1.00000E+04
8.15220E+10,1.00000E+04
8.26760E+10,1.00000E+04
8.23400E+10,1.00000E+04
8.28420E+10,1.00000E+04
8.19560E+10,1.00000E+04
8.22010E+10,1.00000E+04
8.27030E+10,1.00000E+04
7.83140E+10,1.00000E+04
8.27690E+10,1.00000E+04
8.27140E+10,1.00000E+04
8.24310E+10,1.00000E+04
8.05830E+10,1.00000E+04
8.26850E+10,1.00000E+04
8.23260E+10,1.00000E+04
8.29080E+10,1.00000E+04
8.23620E+10,1.00000E+04
8.07900E+10,1.00000E+04
8.13120E+10,1.00000E+04
7.99770E+10,1.00000E+04
8.14940E+10,1.00000E+04
8.27710E+10,1.00000E+04
8.12020E+10,1.00000E+04
8.26480E+10,1.00000E+04
8.23750E+10,1.00000E+04
8.23010E+10,1.00000E+04
8.10780E+10,1.00000E+04
8.26190E+10,1.00000E+04
8.26690E+10,1.00000E+04
8.27050E+10,1.00000E+04
8.21870E+10,1.00000E+04
8.26250E+10,1.00000E+04
8.16680E+10,1.00000E+04
8.02730E+10,1.00000E+04
8.09230E+10,1.00000E+04
7.99890E+10,1.00000E+04
8.13670E+10,1.00000E+04
8.27040E+10,1.00000E+04
8.21660E+10,1.00000E+04
8.28330E+10,1.00000E+04
8.22140E+10,1.00000E+04
8.21560E+10,1.00000E+04
8.15660E+10,1.00000E+04
8.28610E+10,1.00000E+04
8.20010E+10,1.00000E+04
8.27740E+10,1.00000E+04
8.29860E+10,1.00000E+04
8.22540E+10,1.00000E+04
8.24750E+10,1.00000E+04
3.25182E+10,1.00000E+04
8.19780E+10,1.00000E+04
8.24870E+10,1.00000E+04
3.47462E+10,1.00000E+04
8.24770E+10,1.00000E+04
8.25780E+10,1.00000E+04
8.26240E+10,1.00000E+04
8.26670E+10,1.00000E+04
8.24220E+10,1.00000E+04
8.04500E+10,1.00000E+04
8.24810E+10,1.00000E+04
7.93370E+10,1.00000E+04
8.25370E+10,1.00000E+04
8.29120E+10,1.00000E+04
8.25930E+10,1.00000E+04
8.30580E+10,1.00000E+04
3.22617E+10,1.00000E+04
8.30280E+10,1.00000E+04
8.24300E+10,1.00000E+04
8.07740E+10,1.00000E+04
8.26790E+10,1.00000E+04
8.05120E+10,1.00000E+04
3.43809E+10,1.00000E+04
8.26320E+10,1.00000E+04
8.23150E+10,1.00000E+04
8.02080E+10,1.00000E+04
8.26620E+10,1.00000E+04
8.25960E+10,1.00000E+04
8.22810E+10,1.00000E+04
7.88000E+10,1.00000E+04
8.23190E+10,1.00000E+04
8.25030E+10,1.00000E+04
8.25720E+10,1.00000E+04
8.24410E+10,1.00000E+04
8.27540E+10,1.00000E+04
8.15810E+10,1.00000E+04
8.25050E+10,1.00000E+04
8.27690E+10,1.00000E+04
8.23730E+10,1.00000E+04
8.24890E+10,1.00000E+04
8.07850E+10,1.00000E+04
8.28810E+10,1.00000E+04
