xsec,nevents
3.43990E+07,1.00000E+04
3.46570E+07,1.00000E+04
3.48180E+07,1.00000E+04
3.41810E+07,1.00000E+04
3.44770E+07,1.00000E+04
3.45480E+07,1.00000E+04
3.39600E+07,1.00000E+04
3.39250E+07,1.00000E+04
3.43020E+07,1.00000E+04
3.42040E+07,1.00000E+04
3.43940E+07,1.00000E+04
3.45120E+07,1.00000E+04
3.44210E+07,1.00000E+04
3.40580E+07,1.00000E+04
3.40680E+07,1.00000E+04
3.44900E+07,1.00000E+04
3.44580E+07,1.00000E+04
3.44450E+07,1.00000E+04
3.33860E+07,1.00000E+04
3.44960E+07,1.00000E+04
